rank,date,ticker,company_name,theme,alpha_score,confidence_score,decision_zone,suggested_action,residual_alpha_score,revenue_confirmation_score,sector_relative_score,institutional_flow_score,narrative_score,capex_context_score,risk_penalty,risk_severity,main_positive_drivers,main_negative_drivers,risk_flags,data_quality,notes
1,2026-04-30,6187.TWO,萬潤 Wan Run,semi_equipment,2.02,5.0,Watchlist,Capped by risk flags — do not size up.,2.487,1.789,0.652,0.068,0.1,0.0,3.076,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +2.49; revenue accel +1.79,1 negative headlines / 30d; valuation penalty -0.14,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
2,2026-04-30,3583.TW,辛耘 Sun Tech,semi_equipment,1.961,4.0,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,2.602,-0.013,1.567,0.337,0.1,0.0,2.632,7,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +2.60,1 negative headlines / 30d; valuation penalty -0.11,overbought(high); valuation_extreme(medium); valuation_extreme(medium),2.5,
3,2026-04-30,6196.TW,帆宣 Marketech International,facility_cleanroom,0.619,3.5,Neutral,No urgency.,-0.26,0.293,0.47,0.254,0.1,0.0,0.239,0,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50; revenue accel +0.29,1 negative headlines / 30d,,2.5,
4,2026-04-30,2351.TW,順德 SDI,gases_chemicals,0.577,3.5,Neutral,No urgency.,1.482,0.44,0.978,-0.035,0.0,0.0,2.289,6,residual alpha +1.48; revenue accel +0.44,valuation penalty -0.10,overbought(high); valuation_extreme(high),2.5,
5,2026-04-30,6488.TWO,環球晶 GlobalWafers,gases_chemicals,-0.004,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.131,-0.031,0.065,1.155,0.0,0.0,0.061,0,,,,2.5,
6,2026-04-30,3587.TW,閎康 Materials Analysis Technology,inspection,-0.046,4.0,Avoid,Skip — negative residual alpha. Wait for setup change.,0.971,-0.022,0.563,0.027,0.1,0.0,1.684,5,tags: n2_a16;twonm;overseas_fab; multi-source (19 domains); CAPEX context +0.50; residual alpha +0.97,1 negative headlines / 30d; valuation penalty -0.04,overbought(high); valuation_extreme(medium),2.5,
7,2026-04-30,3105.TWO,穩懋 WIN Semi,semi_equipment,-0.566,4.0,Avoid,Skip — negative residual alpha. Wait for setup change.,0.309,-0.08,0.764,0.842,0.1,0.0,2.501,6,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +0.31,1 negative headlines / 30d; valuation penalty -0.14,overbought(high); valuation_extreme(high),2.5,
8,2026-04-30,5536.TW,聖暉 Acter Group,facility_cleanroom,-0.589,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.979,0.519,-0.202,0.588,0.1,0.0,0.615,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50; revenue accel +0.52,1 negative headlines / 30d; valuation penalty -0.00,valuation_extreme(medium),2.5,
9,2026-04-30,1727.TW,中華化學 China Chemical & Pharmaceutical,gases_chemicals,-0.719,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.288,0.394,1.156,-0.072,0.0,0.0,2.484,6,residual alpha +0.29; revenue accel +0.39,valuation penalty -0.14,overbought(high); valuation_extreme(high),2.5,
10,2026-04-30,6271.TW,同欣電 Tong Hsing,inspection,-0.991,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.252,0.037,-0.563,0.197,0.1,0.0,0.51,0,tags: n2_a16;twonm;overseas_fab; multi-source (19 domains); CAPEX context +0.50; revenue accel +0.04,1 negative headlines / 30d,,2.5,
11,2026-04-30,2436.TW,偉詮電 Weltrend,semi_equipment,-1.23,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.144,0.627,-0.274,-0.391,0.1,0.0,1.148,3,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; revenue accel +0.63,1 negative headlines / 30d,overbought(high),2.5,
12,2026-04-30,3413.TW,京鼎 KE Holdings,semi_equipment,-1.585,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.217,0.123,-0.881,0.012,0.1,0.0,0.722,0,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; revenue accel +0.12,1 negative headlines / 30d,,2.5,
13,2026-04-30,4755.TW,三福化工 San Fu Chemical,gases_chemicals,-1.635,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.421,0.482,-1.077,0.009,0.0,0.0,0.627,2,revenue accel +0.48,,valuation_extreme(medium),2.5,
14,2026-04-30,5347.TWO,世界先進 Vanguard,indirect,-1.919,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.934,-0.152,0.0,-1.014,0.2,0.0,0.019,0,2 positive headlines / 30d; tags: memory;passive_components;n3; multi-source (10 domains),,,2.5,
15,2026-04-30,2404.TW,漢唐 United Integrated Services,facility_cleanroom,-1.945,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.342,0.27,-0.354,-0.788,0.1,0.0,0.831,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50; revenue accel +0.27,1 negative headlines / 30d,valuation_extreme(medium),2.5,
16,2026-04-30,6202.TW,盛群 Holtek,semi_equipment,-2.252,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.589,0.283,-0.56,-0.206,0.1,0.0,1.279,3,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; revenue accel +0.28,1 negative headlines / 30d; valuation penalty -0.08,valuation_extreme(high),2.5,
17,2026-04-30,3041.TW,揚智 Ali Corp,semi_equipment,-2.34,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.22,-0.395,-0.801,-0.205,0.1,0.0,0.819,0,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50,1 negative headlines / 30d,,2.5,
18,2026-04-30,1721.TW,三晃 Sunko-Ink,gases_chemicals,-3.001,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.61,-0.126,0.165,0.163,0.0,0.0,2.594,6,,,price_up_revenue_down(high); revenue_not_confirmed(high),2.5,
19,2026-04-30,6139.TW,亞翔工程 Acter,facility_cleanroom,-3.189,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.598,-2.102,0.086,0.122,0.1,0.0,0.797,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50,1 negative headlines / 30d,valuation_extreme(medium),2.5,
20,2026-04-30,3680.TW,家登 Gudeng Precision,semi_equipment,-4.159,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.732,-1.103,0.407,-0.112,0.1,0.0,2.72,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50,1 negative headlines / 30d; valuation penalty -0.06,price_up_revenue_down(high); revenue_not_confirmed(high); valuation_extreme(medium),2.5,
21,2026-04-30,4763.TW,材料-KY 國際應材,gases_chemicals,-5.184,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.487,0.119,-1.288,-0.971,0.0,0.0,2.556,6,revenue accel +0.12,,excessive_drawdown(high); revenue_not_confirmed(high),2.5,
22,2026-04-30,3131.TWO,弘塑 Grand Process Technology,semi_equipment,-5.478,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.333,-1.351,-0.874,0.022,0.1,0.0,3.042,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50,1 negative headlines / 30d; valuation penalty -0.13,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
