ticker,company_name,theme,sub_theme,benefit_logic,confidence_level,notes
2330.TW,台積電 TSMC,indirect,self,核心 — CAPEX 訊號發行者本身,high,issuer; reference only
2408.TW,南亞科 Nanya Tech,memory_hbm,DRAM,DRAM specialty,medium,Phase C 新增
2313.TW,華通 Compeq Manufacturing,pcb_substrate,HDI/server PCB,server PCB / HDI,medium,Phase C 新增 / LEO overlap
2344.TW,華邦電 Winbond,memory_hbm,DRAM/Flash,DRAM + flash 廠,medium,Phase C 新增
2308.TW,台達電 Delta Electronics,power_grid_energy,電源,server power supply / cooling,high,Phase C 新增
3037.TW,欣興 Unimicron,pcb_substrate,ABF substrate,ABF 載板領導,high,Phase C 新增
8299.TWO,群聯 Phison,memory_hbm,NAND controller,NAND controller / SSD,high,Phase C 新增
3189.TW,景碩 Kinsus,pcb_substrate,ABF/BT substrate,ABF + BT 載板,high,Phase C 新增
3105.TWO,穩懋 WIN Semi,semi_equipment,GaAs foundry,化合物半導體晶圓代工,low,SURVIVORSHIP-TEST
3017.TW,奇鋐 Auras Technology,thermal,AI server 散熱,液冷 / 散熱模組,high,Phase C 新增 / AI server overlap
2383.TW,台光電 Elite Material,pcb_substrate,銅箔基板,高速 CCL 龍頭,high,Phase C 新增
8046.TW,南電 Nan Ya PCB,pcb_substrate,ABF substrate,ABF 載板,high,Phase C 新增
2327.TW,國巨 Yageo,passive_components,MLCC,MLCC / 被動元件巨頭,high,Phase C 新增
3260.TWO,威剛 ADATA,memory_hbm,memory module,DRAM/SSD module,medium,Phase C 新增
2368.TW,金像電 Gold Circuit Electronics,pcb_substrate,server PCB,AI server PCB / 高階 PCB,high,Phase C 新增
6669.TW,緯穎 Wiwynn,ai_server_assembly,cloud hardware,cloud hardware / hyperscaler,high,Phase C 新增
6285.TW,啟碁 Wistron NeWeb,leo_satellite,衛星設備,衛星 router / antenna,medium,Phase C 新增
6274.TWO,台燿 Taiwan Union Tech,pcb_substrate,銅箔基板,高速 CCL / server PCB,high,Phase C 新增 / LEO overlap
4979.TWO,華星光通 PCL Tech,optical_communication,矽光子,矽光子 / CPO,medium,Phase C 新增
3653.TW,健策 KEDGE,thermal,AI server 散熱,heat sink / 散熱模組,high,Phase C 新增 / AI server overlap
