rank,date,ticker,company_name,theme,alpha_score,confidence_score,decision_zone,suggested_action,residual_alpha_score,revenue_confirmation_score,sector_relative_score,institutional_flow_score,narrative_score,capex_context_score,risk_penalty,risk_severity,main_positive_drivers,main_negative_drivers,risk_flags,data_quality,notes
1,2026-04-30,3081.TWO,聯亞 LandMark Optoelectronics,optical_communication,2.18,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,4.644,-0.0,0.0,-0.0,0.0,0.0,2.464,8,residual alpha +4.64,valuation penalty -0.18,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
2,2026-04-30,3583.TW,辛耘 Sun Tech,semi_equipment,1.558,3.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,3.273,-0.0,0.0,0.0,0.0,0.0,1.715,7,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +3.27,1 negative headlines / 30d; valuation penalty -0.04,overbought(high); valuation_extreme(medium); valuation_extreme(medium),2.5,
3,2026-04-30,6187.TWO,萬潤 Wan Run,semi_equipment,1.253,3.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,3.335,0.0,0.0,0.0,0.0,0.0,2.082,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +3.34,1 negative headlines / 30d; valuation penalty -0.08,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
4,2026-04-30,2383.TW,台光電 Elite Material,pcb_substrate,0.87,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,3.135,0.0,0.0,-0.0,0.0,0.0,2.264,8,residual alpha +3.13,valuation penalty -0.12,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
5,2026-04-30,6213.TW,聯茂 ITEQ,pcb_substrate,0.729,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,2.164,-0.0,0.0,-0.0,0.0,0.0,1.435,6,residual alpha +2.16,valuation penalty -0.02,overbought(high); valuation_extreme(high),2.5,
6,2026-04-30,2351.TW,順德 SDI,gases_chemicals,0.601,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,2.127,0.0,0.0,-0.0,0.0,0.0,1.526,6,residual alpha +2.13,valuation penalty -0.05,overbought(high); valuation_extreme(high),2.5,
7,2026-04-30,3587.TW,閎康 Materials Analysis Technology,inspection,0.313,3.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,1.469,-0.0,0.0,0.0,0.0,0.0,1.156,5,tags: n2_a16;twonm;overseas_fab; multi-source (19 domains); CAPEX context +0.50; residual alpha +1.47,1 negative headlines / 30d,overbought(high); valuation_extreme(medium),2.5,
8,2026-04-30,8046.TW,南電 Nan Ya PCB,pcb_substrate,-0.023,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,2.326,-0.0,0.0,0.0,0.0,0.0,2.349,8,residual alpha +2.33,valuation penalty -0.15,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
9,2026-04-30,3017.TW,奇鋐 Auras Technology,thermal,-0.203,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.601,-0.0,0.0,0.0,0.0,0.0,1.804,7,residual alpha +1.60,valuation penalty -0.06,overbought(high); valuation_extreme(medium); valuation_extreme(medium),2.5,
10,2026-04-30,6669.TW,緯穎 Wiwynn,ai_server_assembly,-0.306,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.042,-0.0,0.0,-0.0,0.0,0.0,0.348,0,residual alpha +0.04,,,2.5,
11,2026-04-30,4979.TWO,華星光通 PCL Tech,optical_communication,-0.322,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.942,-0.0,0.0,0.0,0.0,0.0,2.264,8,residual alpha +1.94,valuation penalty -0.12,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
12,2026-04-30,6274.TWO,台燿 Taiwan Union Tech,pcb_substrate,-0.336,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.787,-0.0,0.0,0.0,0.0,0.0,2.122,8,residual alpha +1.79,valuation penalty -0.09,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
13,2026-04-30,3037.TW,欣興 Unimicron,pcb_substrate,-0.514,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.712,-0.0,0.0,0.0,0.0,0.0,2.227,8,residual alpha +1.71,valuation penalty -0.11,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
14,2026-04-30,2357.TW,華碩 ASUS,ai_server_assembly,-0.53,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.144,-0.0,-0.0,-0.0,0.0,0.0,0.675,0,residual alpha +0.14,,,2.5,
15,2026-04-30,2382.TW,廣達 Quanta,ai_server_assembly,-0.539,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.122,-0.0,-0.0,0.0,0.0,0.0,0.417,0,,,,2.5,
16,2026-04-30,2376.TW,技嘉 GIGABYTE,ai_server_assembly,-0.577,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.022,0.0,0.0,0.0,0.0,0.0,0.555,0,,,,2.5,
17,2026-04-30,2368.TW,金像電 Gold Circuit Electronics,pcb_substrate,-0.58,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.507,-0.0,-0.0,0.0,0.0,0.0,2.087,8,residual alpha +1.51,valuation penalty -0.08,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
18,2026-04-30,3189.TW,景碩 Kinsus,pcb_substrate,-0.647,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.589,-0.0,-0.0,0.0,0.0,0.0,2.235,8,residual alpha +1.59,valuation penalty -0.12,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
19,2026-04-30,6196.TW,帆宣 Marketech International,facility_cleanroom,-0.661,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.413,-0.0,0.0,0.0,0.0,0.0,0.248,0,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50,1 negative headlines / 30d,,2.5,
20,2026-04-30,6285.TW,啟碁 Wistron NeWeb,leo_satellite,-0.673,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.453,-0.0,0.0,0.0,0.0,0.0,0.219,0,,,,2.5,
21,2026-04-30,3653.TW,健策 KEDGE,thermal,-0.727,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.652,-0.0,0.0,-0.0,0.0,0.0,2.38,8,residual alpha +1.65,valuation penalty -0.15,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
22,2026-04-30,3231.TW,緯創 Wistron,ai_server_assembly,-0.754,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.182,-0.0,-0.0,0.0,0.0,0.0,0.572,0,,,,2.5,
23,2026-04-30,1514.TW,亞力 Allis Electric,power_grid_energy,-0.824,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.667,-0.0,-0.0,0.0,0.0,0.0,0.157,0,,,,2.5,
24,2026-04-30,6271.TW,同欣電 Tong Hsing,inspection,-0.837,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.391,-0.0,-0.0,0.0,0.0,0.0,0.446,0,tags: n2_a16;twonm;overseas_fab; multi-source (19 domains); CAPEX context +0.50,1 negative headlines / 30d,,2.5,
25,2026-04-30,2356.TW,英業達 Inventec,ai_server_assembly,-0.943,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.45,0.0,-0.0,0.0,0.0,0.0,0.493,0,,,,2.5,
26,2026-04-30,1513.TW,中興電 Chung-Hsin Electric,power_grid_energy,-1.023,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.566,-0.0,-0.0,-0.0,0.0,0.0,0.457,0,,,,2.5,
27,2026-04-30,2436.TW,偉詮電 Weltrend,semi_equipment,-1.161,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.162,0.0,-0.0,-0.0,0.0,0.0,0.999,3,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50,1 negative headlines / 30d,overbought(high),2.5,
28,2026-04-30,4967.TW,十銓 Team Group,memory_hbm,-1.206,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.906,-0.0,0.0,-0.0,0.0,0.0,0.299,0,,,,2.5,
