rank,date,ticker,company_name,theme,alpha_score,confidence_score,decision_zone,suggested_action,residual_alpha_score,revenue_confirmation_score,sector_relative_score,institutional_flow_score,narrative_score,capex_context_score,risk_penalty,risk_severity,main_positive_drivers,main_negative_drivers,risk_flags,data_quality,notes
1,2026-04-30,6187.TWO,萬潤 Wan Run,semi_equipment,2.14,4.5,Watchlist,Capped by risk flags — do not size up.,2.487,2.683,0.0,0.046,0.0,0.0,3.076,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +2.49; revenue accel +2.68,1 negative headlines / 30d; valuation penalty -0.14,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
2,2026-04-30,3583.TW,辛耘 Sun Tech,semi_equipment,0.175,3.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,2.602,-0.019,0.0,0.225,0.0,0.0,2.632,7,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +2.60,1 negative headlines / 30d; valuation penalty -0.11,overbought(high); valuation_extreme(medium); valuation_extreme(medium),2.5,
3,2026-04-30,6196.TW,帆宣 Marketech International,facility_cleanroom,0.11,3.5,Neutral,No urgency.,-0.26,0.44,0.0,0.169,0.0,0.0,0.239,0,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50; revenue accel +0.44,1 negative headlines / 30d,,2.5,
4,2026-04-30,2351.TW,順德 SDI,gases_chemicals,-0.17,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.482,0.66,0.0,-0.023,0.0,0.0,2.289,6,residual alpha +1.48; revenue accel +0.66,valuation penalty -0.10,overbought(high); valuation_extreme(high),2.5,
5,2026-04-30,4755.TW,三福化工 San Fu Chemical,gases_chemicals,-0.32,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.421,0.723,-0.0,0.006,0.0,0.0,0.627,2,revenue accel +0.72,,valuation_extreme(medium),2.5,
6,2026-04-30,5536.TW,聖暉 Acter Group,facility_cleanroom,-0.424,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.979,0.778,-0.0,0.392,0.0,0.0,0.615,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50; revenue accel +0.78,1 negative headlines / 30d; valuation penalty -0.00,valuation_extreme(medium),2.5,
7,2026-04-30,6488.TWO,環球晶 GlobalWafers,gases_chemicals,-0.469,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.131,-0.047,0.0,0.77,0.0,0.0,0.061,0,,,,2.5,
8,2026-04-30,6271.TW,同欣電 Tong Hsing,inspection,-0.575,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.252,0.056,-0.0,0.131,0.0,0.0,0.51,0,tags: n2_a16;twonm;overseas_fab; multi-source (19 domains); CAPEX context +0.50; revenue accel +0.06,1 negative headlines / 30d,,2.5,
9,2026-04-30,2436.TW,偉詮電 Weltrend,semi_equipment,-0.612,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.144,0.94,-0.0,-0.261,0.0,0.0,1.148,3,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; revenue accel +0.94,1 negative headlines / 30d,overbought(high),2.5,
10,2026-04-30,3587.TW,閎康 Materials Analysis Technology,inspection,-0.729,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.971,-0.033,0.0,0.018,0.0,0.0,1.684,5,tags: n2_a16;twonm;overseas_fab; multi-source (19 domains); CAPEX context +0.50; residual alpha +0.97,1 negative headlines / 30d; valuation penalty -0.04,overbought(high); valuation_extreme(medium),2.5,
11,2026-04-30,3413.TW,京鼎 KE Holdings,semi_equipment,-0.747,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.217,0.184,-0.0,0.008,0.0,0.0,0.722,0,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; revenue accel +0.18,1 negative headlines / 30d,,2.5,
12,2026-04-30,2404.TW,漢唐 United Integrated Services,facility_cleanroom,-1.293,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.342,0.406,-0.0,-0.525,0.0,0.0,0.831,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50; revenue accel +0.41,1 negative headlines / 30d,valuation_extreme(medium),2.5,
13,2026-04-30,6202.TW,盛群 Holtek,semi_equipment,-1.581,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.589,0.425,-0.0,-0.138,0.0,0.0,1.279,3,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; revenue accel +0.43,1 negative headlines / 30d; valuation penalty -0.08,valuation_extreme(high),2.5,
14,2026-04-30,1727.TW,中華化學 China Chemical & Pharmaceutical,gases_chemicals,-1.654,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.288,0.59,0.0,-0.048,0.0,0.0,2.484,6,residual alpha +0.29; revenue accel +0.59,valuation penalty -0.14,overbought(high); valuation_extreme(high),2.5,
