rank,date,ticker,company_name,theme,alpha_score,confidence_score,decision_zone,suggested_action,residual_alpha_score,revenue_confirmation_score,sector_relative_score,institutional_flow_score,narrative_score,capex_context_score,risk_penalty,risk_severity,main_positive_drivers,main_negative_drivers,risk_flags,data_quality,notes,rebalance_date,fwd_return_1m
1,2020-06-30,2421.TW,建準 Sunon,thermal,2.663,2.5,Watchlist,Track — needs further confirmation.,3.382,0.0,-0.0,0.0,0.0,0.0,0.719,3,residual alpha +3.38,valuation penalty -0.01,overbought(high),2.5,,2020-06-30,0.12017620087638692
2,2020-06-30,2308.TW,台達電 Delta Electronics,power_grid_energy,2.454,2.5,Watchlist,Track — needs further confirmation.,3.272,-0.0,0.0,0.0,0.0,0.0,0.817,3,residual alpha +3.27,valuation penalty -0.04,price_up_revenue_down(high),2.5,,2020-06-30,0.2303225947877936
3,2020-06-30,4979.TWO,華星光通 PCL Tech,optical_communication,2.176,2.5,Watchlist,Track — needs further confirmation.,3.356,-0.0,-0.0,-0.0,0.0,0.0,1.18,3,residual alpha +3.36,,overbought(high),2.5,,2020-06-30,0.16907217599232327
4,2020-06-30,3231.TW,緯創 Wistron,ai_server_assembly,1.923,2.5,Neutral,No urgency.,2.989,-0.0,0.0,0.0,0.0,0.0,1.066,3,residual alpha +2.99,,overbought(high),2.5,,2020-06-30,0.01744892884016802
5,2020-06-30,3189.TW,景碩 Kinsus,pcb_substrate,1.503,2.5,Neutral,No urgency.,2.88,0.0,0.0,0.0,0.0,0.0,1.378,3,residual alpha +2.88,,overbought(high),2.5,,2020-06-30,0.10099595604801048
6,2020-06-30,3037.TW,欣興 Unimicron,pcb_substrate,0.8,2.5,Neutral,No urgency.,1.581,-0.0,0.0,0.0,0.0,0.0,0.781,3,residual alpha +1.58,valuation penalty -0.03,overbought(high),2.5,,2020-06-30,0.310635789171384
7,2020-06-30,3017.TW,奇鋐 Auras Technology,thermal,0.604,2.5,Neutral,No urgency.,0.956,-0.0,0.0,-0.0,0.0,0.0,0.353,0,residual alpha +0.96,,,2.5,,2020-06-30,0.13053894445559555
8,2020-06-30,5536.TW,聖暉 Acter Group,facility_cleanroom,0.566,2.5,Neutral,No urgency.,0.914,0.0,-0.0,-0.0,0.0,0.0,0.348,0,CAPEX context +0.50; residual alpha +0.91,,,2.5,,2020-06-30,-0.009346389648232423
9,2020-06-30,5347.TWO,世界先進 Vanguard,indirect,0.532,2.5,Neutral,No urgency.,0.822,0.0,0.0,0.0,0.0,0.0,0.29,0,residual alpha +0.82,valuation penalty -0.08,,2.5,,2020-06-30,0.273386464253484
10,2020-06-30,1514.TW,亞力 Allis Electric,power_grid_energy,0.378,2.5,Neutral,No urgency.,0.855,-0.0,-0.0,-0.0,0.0,0.0,0.477,0,residual alpha +0.86,,,2.5,,2020-06-30,0.11711699437803458
11,2020-06-30,2376.TW,技嘉 GIGABYTE,ai_server_assembly,0.313,2.5,Neutral,No urgency.,0.449,-0.0,0.0,-0.0,0.0,0.0,0.136,0,residual alpha +0.45,,,2.5,,2020-06-30,0.3219025898728025
12,2020-06-30,1513.TW,中興電 Chung-Hsin Electric,power_grid_energy,0.152,2.5,Neutral,No urgency.,0.287,0.0,-0.0,-0.0,0.0,0.0,0.135,0,residual alpha +0.29,,,2.5,,2020-06-30,0.10669072203619945
13,2020-06-30,3363.TWO,上詮 LuxNet,optical_communication,0.094,2.5,Neutral,No urgency.,1.396,0.0,0.0,-0.0,0.0,0.0,1.302,3,residual alpha +1.40,,overbought(high),2.5,,2020-06-30,-0.08909088064958237
14,2020-06-30,2357.TW,華碩 ASUS,ai_server_assembly,0.089,2.5,Neutral,No urgency.,0.59,-0.0,0.0,-0.0,0.0,0.0,0.501,0,residual alpha +0.59,,,2.5,,2020-06-30,0.0023147866683159712
15,2020-06-30,2377.TW,微星 MSI,ai_server_assembly,0.037,2.5,Neutral,No urgency.,0.148,-0.0,-0.0,0.0,0.0,0.0,0.111,0,residual alpha +0.15,,,2.5,,2020-06-30,0.21395358290662636
16,2020-06-30,8358.TW,金居 Co-Tech Development,pcb_substrate,-0.069,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.83,-0.0,-0.0,-0.0,0.0,0.0,0.9,3,residual alpha +0.83,valuation penalty -0.06,overbought(high),2.5,,2020-06-30,-0.016726215912065467
17,2020-06-30,2382.TW,廣達 Quanta,ai_server_assembly,-0.172,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.129,0.0,-0.0,0.0,0.0,0.0,0.043,0,,,,2.5,,2020-06-30,0.15211265573020327
18,2020-06-30,2383.TW,台光電 Elite Material,pcb_substrate,-0.181,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.689,-0.0,-0.0,-0.0,0.0,0.0,0.87,3,residual alpha +0.69,,overbought(high),2.5,,2020-06-30,0.10971801255528191
19,2020-06-30,6488.TWO,環球晶 GlobalWafers,gases_chemicals,-0.315,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.159,-0.0,0.0,-0.0,0.0,0.0,0.157,0,,,,2.5,,2020-06-30,0.11111195623390735
20,2020-06-30,1504.TW,東元 TECO,power_grid_energy,-0.343,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.659,-0.0,-0.0,-0.0,0.0,0.0,1.001,3,residual alpha +0.66,,revenue_not_confirmed(high),2.5,,2020-06-30,0.0055453526815596454
21,2020-06-30,2404.TW,漢唐 United Integrated Services,facility_cleanroom,-0.4,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.231,0.0,-0.0,-0.0,0.0,0.0,0.169,0,CAPEX context +0.50,,,2.5,,2020-06-30,0.02238820290089394
22,2020-06-30,6442.TW,光聖 Luxnet Corp,optical_communication,-0.454,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.231,0.0,-0.0,-0.0,0.0,0.0,0.685,0,residual alpha +0.23,,,2.5,,2020-06-30,0.002777616204471922
23,2020-06-30,2451.TW,創見 Transcend,memory_hbm,-0.545,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.361,-0.0,0.0,-0.0,0.0,0.0,0.906,3,residual alpha +0.36,,revenue_not_confirmed(high),2.5,,2020-06-30,-0.02355074298407056
24,2020-06-30,3653.TW,健策 KEDGE,thermal,-0.585,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.7,0.0,0.0,-0.0,0.0,0.0,1.285,3,residual alpha +0.70,valuation penalty -0.16,overbought(high),2.5,,2020-06-30,0.12345685588279509
25,2020-06-30,3324.TWO,雙鴻 Asia Vital Components,thermal,-0.616,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.565,-0.0,0.0,-0.0,0.0,0.0,0.051,0,,,,2.5,,2020-06-30,0.37087410284371525
26,2020-06-30,2436.TW,偉詮電 Weltrend,semi_equipment,-0.681,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.203,0.0,-0.0,-0.0,0.0,0.0,0.884,2,CAPEX context +0.50; residual alpha +0.20,valuation penalty -0.12,valuation_extreme(medium),2.5,,2020-06-30,0.12030091129600051
27,2020-06-30,3587.TW,閎康 Materials Analysis Technology,inspection,-0.722,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.022,-0.0,-0.0,-0.0,0.0,0.0,0.7,3,CAPEX context +0.50,,overbought(high),2.5,,2020-06-30,0.2140403754984146
28,2020-06-30,2313.TW,華通 Compeq Manufacturing,pcb_substrate,-0.749,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.336,-0.0,-0.0,0.0,0.0,0.0,1.085,3,residual alpha +0.34,,overbought(high),2.5,,2020-06-30,0.041876848329328364
29,2020-06-30,4977.TW,眾達-KY Applied Optoelectronics,optical_communication,-0.78,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.405,0.0,-0.0,-0.0,0.0,0.0,1.185,3,residual alpha +0.40,valuation penalty -0.14,overbought(high),2.5,,2020-06-30,0.0743801218422595
30,2020-06-30,6285.TW,啟碁 Wistron NeWeb,leo_satellite,-0.82,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.56,-0.0,-0.0,-0.0,0.0,0.0,0.261,0,,,,2.5,,2020-06-30,0.036556702708002264
31,2020-06-30,3413.TW,京鼎 KE Holdings,semi_equipment,-0.82,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.046,0.0,0.0,0.0,0.0,0.0,0.774,3,CAPEX context +0.50,valuation penalty -0.03,overbought(high),2.5,,2020-06-30,0.1762967347164559
32,2020-06-30,2356.TW,英業達 Inventec,ai_server_assembly,-0.822,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.35,0.0,-0.0,0.0,0.0,0.0,0.472,0,,,,2.5,,2020-06-30,0.04506207147663477
33,2020-06-30,8046.TW,南電 Nan Ya PCB,pcb_substrate,-0.897,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.61,0.0,0.0,-0.0,0.0,0.0,1.507,5,residual alpha +0.61,valuation penalty -0.10,overbought(high); valuation_extreme(medium),2.5,,2020-06-30,0.2711338003406376
34,2020-06-30,2327.TW,國巨 Yageo,passive_components,-1.021,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.066,0.0,0.0,-0.0,0.0,0.0,1.087,3,residual alpha +0.07,valuation penalty -0.11,overbought(high),2.5,,2020-06-30,0.020997503018288288
35,2020-06-30,3680.TW,家登 Gudeng Precision,semi_equipment,-1.023,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.516,0.0,0.0,0.0,0.0,0.0,2.539,8,CAPEX context +0.50; residual alpha +1.52,valuation penalty -0.20,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,,2020-06-30,0.15587040131479601
36,2020-06-30,3450.TWO,聯鈞 Browave,optical_communication,-1.104,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.606,0.0,0.0,-0.0,0.0,0.0,0.498,0,,valuation penalty -0.13,,2.5,,2020-06-30,-0.05346553613892557
37,2020-06-30,8299.TWO,群聯 Phison,memory_hbm,-1.263,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.784,0.0,0.0,-0.0,0.0,0.0,0.479,0,,,,2.5,,2020-06-30,0.045107799702082785
