ticker,company_name,market,theme,sub_theme,benefit_logic,confidence_level,notes
2330.TW,台積電 TSMC,TWSE,indirect,self,核心 — CAPEX 訊號發行者本身,high,issuer; reference only
2404.TW,漢唐 United Integrated Services,TWSE,facility_cleanroom,廠務統包,廠務統包與機電整合,high,2nm/CoWoS 擴建
6139.TW,亞翔工程 Acter,TWSE,facility_cleanroom,無塵室,無塵室統包,high,新廠案 ramp 期
5536.TW,聖暉 Acter Group,TWSE,facility_cleanroom,廠務統包,系統整合 + 機電工程,medium,海外建廠 driver
6196.TW,帆宣 Marketech International,TWSE,facility_cleanroom,廠務+設備整合,廠務工程 + 設備代理,high,跨 build 與 tooling
3131.TWO,弘塑 Grand Process Technology,TPEX,semi_equipment,濕製程設備,先進製程濕式蝕刻設備,medium,2nm 拉貨節奏
3583.TW,辛耘 Sun Tech,TWSE,semi_equipment,設備+零件,半導體設備本體與耗材,medium,設備代理 + 自產
6187.TWO,萬潤 Wan Run,TPEX,semi_equipment,封裝設備,封裝測試與設備,medium,CoWoS / 先進封裝
3680.TW,家登 Gudeng Precision,TWSE,semi_equipment,EUV pod,EUV 光罩盒、晶圓盒,high,EUV 上量直接 driver
3587.TW,閎康 Materials Analysis Technology,TWSE,inspection,材料分析,材料分析與失效檢測,medium,先進製程量產後檢測
4755.TW,三福化工 San Fu Chemical,TWSE,gases_chemicals,化學品,半導體化學品 — 量產材料,medium,訊號最慢
1727.TW,中華化學 China Chemical & Pharmaceutical,TWSE,gases_chemicals,化學品,工業 + 半導體化學品,low,佔比需確認
4763.TW,材料-KY 國際應材,TWSE,gases_chemicals,材料,半導體與面板材料,low,TSMC 業務佔比待確認
1721.TW,三晃 Sunko-Ink,TWSE,gases_chemicals,化學品,工業化學品 — 半導體佔比小,low,SURVIVORSHIP-TEST
2351.TW,順德 SDI,TWSE,gases_chemicals,導線架,IC 封裝原料,low,SURVIVORSHIP-TEST
3041.TW,揚智 Ali Corp,TWSE,semi_equipment,IC 設計,IC 設計周邊,low,SURVIVORSHIP-TEST
6202.TW,盛群 Holtek,TWSE,semi_equipment,MCU,MCU 設計,low,SURVIVORSHIP-TEST
5347.TWO,世界先進 Vanguard,TPEX,indirect,成熟製程,TSMC 子公司 / 成熟節點,medium,SURVIVORSHIP-TEST-2
6271.TW,同欣電 Tong Hsing,TWSE,inspection,影像感測封裝,影像感測 + 模組封裝,low,SURVIVORSHIP-TEST
6488.TWO,環球晶 GlobalWafers,TPEX,gases_chemicals,矽晶圓,矽晶圓供應商,high,SURVIVORSHIP-TEST-2
3413.TW,京鼎 KE Holdings,TWSE,semi_equipment,半導體設備,設備本體,medium,SURVIVORSHIP-TEST-2
2436.TW,偉詮電 Weltrend,TWSE,semi_equipment,IC 設計,IC 設計周邊,low,SURVIVORSHIP-TEST-2
